endpoint	stratum	holdout	train_cohorts	candidate	candidate_family	selection_mode	inner_mean_AUROC	inner_sd_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	performance_score	bio_prior_cosine	bio_sign_agreement	bio_compactness_bonus	bio_objective_bonus	selection_score	selected_candidate
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	bio_prior_no_exhaustion	prior_perturbation	no_bio_objective	0.7552841894947158	0.1179215521320785	0.7260573459740436	0.6381184604868816	0.2737734012909868	0.759769060856777	0.9851843661437777	0.8571428571428571	0.0	0.11310046357721651	0.759769060856777	apm_cyto_resistance
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	response_equal_resistance_negative	ecology_symmetric	no_bio_objective	0.7583863504916137	0.1100347021399653	0.7375820379679292	0.6663862453336138	0.24453847595852102	0.7737657440913266	0.90748521297303	1.0	0.0	0.11259881703784241	0.7737657440913266	apm_cyto_resistance
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	response_equal_no_resistance	response_only	no_bio_objective	0.6843025395656974	0.14584100110415898	0.6820445977478504	0.6657881592092119	0.25328403421513146	0.6748833016165939	0.7669649888473703	0.7142857142857143	1.0	0.1099286276792182	0.6748833016165939	apm_cyto_resistance
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	ifn_only	single_axis	no_bio_objective	0.6655581260844419	0.17654713707345282	0.664968601960449	0.6445133813554866	0.22528444627219713	0.6422144198707052	0.6859943405700353	0.14285714285714285	1.0	0.08059383295988853	0.6422144198707052	apm_cyto_resistance
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	ifn_apm_cyto	response_axis	no_bio_objective	0.7000762395499238	0.13963667911036332	0.686977823584423	0.6430608864819392	0.2786915681467793	0.6893049914552645	0.8463182721583792	0.5714285714285714	1.0	0.1105626046298132	0.6893049914552645	apm_cyto_resistance
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	apm_cyto_resistance	response_resistance_axis	no_bio_objective	0.7876334192123666	0.05686418844313573	0.7253662923785169	0.7347520900152479	0.18451078976850802	0.8407989402641365	0.6765560069081112	0.5714285714285714	1.0	0.09698162340979176	0.8407989402641365	apm_cyto_resistance
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	exhaustion_penalty	prior_perturbation	no_bio_objective	0.7648535674851464	0.12749093012250906	0.7411480748892774	0.7333784636416215	0.22295731279997466	0.7784482361749044	0.8740200053736313	0.8571428571428571	0.0	0.10420731471560479	0.7784482361749044	apm_cyto_resistance
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	drop_ifn_t_cell_inflamed	single_module_drop	no_bio_objective	0.7795231084704769	0.08172091066827913	0.7331019449113597	0.7019427940480572	0.18613393534249964	0.8191498970285012	0.727606875108999	0.8571428571428571	0.0	0.09249426429443422	0.8191498970285012	apm_cyto_resistance
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	drop_cytotoxic_cd8	single_module_drop	no_bio_objective	0.7595825227404174	0.11123087438876916	0.7079653020166068	0.6842433881907566	0.2739079144241864	0.7678895979936033	0.9393364366277241	0.8571428571428571	0.0	0.10943262921593222	0.7678895979936033	apm_cyto_resistance
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	drop_exhaustion_checkpoint	single_module_drop	no_bio_objective	0.7552841894947158	0.1179215521320785	0.7260573459740436	0.6381184604868816	0.2737734012909868	0.759769060856777	0.9851843661437777	0.8571428571428571	0.0	0.11310046357721651	0.759769060856777	apm_cyto_resistance
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	drop_antigen_presentation	single_module_drop	no_bio_objective	0.7408381092591618	0.141937010358063	0.7355978738160295	0.6292983332457016	0.2739131587945946	0.7338073343048293	0.9393364366277241	0.8571428571428571	0.0	0.10943262921593222	0.7338073343048293	apm_cyto_resistance
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	drop_myeloid_suppression	single_module_drop	no_bio_objective	0.7170461117829539	0.1346285293653715	0.6910491671211485	0.7090278142909723	0.24913475976385238	0.7169179405623537	0.9393364366277241	0.8571428571428571	0.0	0.10943262921593222	0.7169179405623537	apm_cyto_resistance
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	drop_stromal_exclusion	single_module_drop	no_bio_objective	0.7068983647931016	0.15195330984804667	0.6799281503273433	0.6485291024764709	0.2621127278052097	0.6920240708548547	0.9393364366277241	0.8571428571428571	0.0	0.10943262921593222	0.6920240708548547	apm_cyto_resistance
