endpoint	stratum	cohort	module	n_genes_defined	n_genes_available	genes_available
strict_recist	melanoma_anti_pd1_primary	GSE78220	ifn_t_cell_inflamed	11	11	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2
strict_recist	melanoma_anti_pd1_primary	GSE78220	cytotoxic_cd8	8	8	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY
strict_recist	melanoma_anti_pd1_primary	GSE78220	exhaustion_checkpoint	7	7	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13
strict_recist	melanoma_anti_pd1_primary	GSE78220	antigen_presentation	10	10	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP1,TAP2,PSMB8,PSMB9
strict_recist	melanoma_anti_pd1_primary	GSE78220	myeloid_suppression	9	9	CD68,CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1
strict_recist	melanoma_anti_pd1_primary	GSE78220	stromal_exclusion	9	9	COL1A1,COL1A2,COL3A1,FN1,ACTA2,VIM,TGFBI,POSTN,LOXL2
strict_recist	melanoma_anti_pd1_primary	GSE78220	trm_tls	9	9	ITGAE,CD69,CXCR6,CXCL13,ZNF683,MS4A1,CD79A,BANK1,LTB
strict_recist	melanoma_anti_pd1_primary	GSE145996	ifn_t_cell_inflamed	11	11	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2
strict_recist	melanoma_anti_pd1_primary	GSE145996	cytotoxic_cd8	8	8	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY
strict_recist	melanoma_anti_pd1_primary	GSE145996	exhaustion_checkpoint	7	7	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13
strict_recist	melanoma_anti_pd1_primary	GSE145996	antigen_presentation	10	6	HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP2,PSMB9
strict_recist	melanoma_anti_pd1_primary	GSE145996	myeloid_suppression	9	8	CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1
strict_recist	melanoma_anti_pd1_primary	GSE145996	stromal_exclusion	9	7	COL1A1,COL1A2,FN1,VIM,TGFBI,POSTN,LOXL2
strict_recist	melanoma_anti_pd1_primary	GSE145996	trm_tls	9	9	ITGAE,CD69,CXCR6,CXCL13,ZNF683,MS4A1,CD79A,BANK1,LTB
strict_recist	melanoma_anti_pd1_primary	GSE115821	ifn_t_cell_inflamed	11	11	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2
strict_recist	melanoma_anti_pd1_primary	GSE115821	cytotoxic_cd8	8	8	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY
strict_recist	melanoma_anti_pd1_primary	GSE115821	exhaustion_checkpoint	7	7	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13
strict_recist	melanoma_anti_pd1_primary	GSE115821	antigen_presentation	10	10	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP1,TAP2,PSMB8,PSMB9
strict_recist	melanoma_anti_pd1_primary	GSE115821	myeloid_suppression	9	9	CD68,CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1
strict_recist	melanoma_anti_pd1_primary	GSE115821	stromal_exclusion	9	9	COL1A1,COL1A2,COL3A1,FN1,ACTA2,VIM,TGFBI,POSTN,LOXL2
strict_recist	melanoma_anti_pd1_primary	GSE115821	trm_tls	9	9	ITGAE,CD69,CXCR6,CXCL13,ZNF683,MS4A1,CD79A,BANK1,LTB
strict_recist	melanoma_anti_pd1_primary	GSE91061	ifn_t_cell_inflamed	11	11	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2
strict_recist	melanoma_anti_pd1_primary	GSE91061	cytotoxic_cd8	8	8	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY
strict_recist	melanoma_anti_pd1_primary	GSE91061	exhaustion_checkpoint	7	7	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13
strict_recist	melanoma_anti_pd1_primary	GSE91061	antigen_presentation	10	10	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP1,TAP2,PSMB8,PSMB9
strict_recist	melanoma_anti_pd1_primary	GSE91061	myeloid_suppression	9	9	CD68,CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1
strict_recist	melanoma_anti_pd1_primary	GSE91061	stromal_exclusion	9	9	COL1A1,COL1A2,COL3A1,FN1,ACTA2,VIM,TGFBI,POSTN,LOXL2
strict_recist	melanoma_anti_pd1_primary	GSE91061	trm_tls	9	9	ITGAE,CD69,CXCR6,CXCL13,ZNF683,MS4A1,CD79A,BANK1,LTB
strict_recist	melanoma_anti_pd1_primary	GSE168204	ifn_t_cell_inflamed	11	11	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2
strict_recist	melanoma_anti_pd1_primary	GSE168204	cytotoxic_cd8	8	8	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY
strict_recist	melanoma_anti_pd1_primary	GSE168204	exhaustion_checkpoint	7	7	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13
strict_recist	melanoma_anti_pd1_primary	GSE168204	antigen_presentation	10	10	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP1,TAP2,PSMB8,PSMB9
strict_recist	melanoma_anti_pd1_primary	GSE168204	myeloid_suppression	9	9	CD68,CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1
strict_recist	melanoma_anti_pd1_primary	GSE168204	stromal_exclusion	9	9	COL1A1,COL1A2,COL3A1,FN1,ACTA2,VIM,TGFBI,POSTN,LOXL2
strict_recist	melanoma_anti_pd1_primary	GSE168204	trm_tls	9	9	ITGAE,CD69,CXCR6,CXCL13,ZNF683,MS4A1,CD79A,BANK1,LTB
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	ifn_t_cell_inflamed	11	11	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	cytotoxic_cd8	8	8	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	exhaustion_checkpoint	7	7	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	antigen_presentation	10	10	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP1,TAP2,PSMB8,PSMB9
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	myeloid_suppression	9	9	CD68,CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	stromal_exclusion	9	9	COL1A1,COL1A2,COL3A1,FN1,ACTA2,VIM,TGFBI,POSTN,LOXL2
strict_recist	melanoma_anti_pd1_primary	PRJEB23709_PD1_PRE	trm_tls	9	9	ITGAE,CD69,CXCR6,CXCL13,ZNF683,MS4A1,CD79A,BANK1,LTB
strict_recist	melanoma_recist_supported_primary	GSE145996	ifn_t_cell_inflamed	11	11	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2
strict_recist	melanoma_recist_supported_primary	GSE145996	cytotoxic_cd8	8	8	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY
strict_recist	melanoma_recist_supported_primary	GSE145996	exhaustion_checkpoint	7	7	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13
strict_recist	melanoma_recist_supported_primary	GSE145996	antigen_presentation	10	6	HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP2,PSMB9
strict_recist	melanoma_recist_supported_primary	GSE145996	myeloid_suppression	9	8	CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1
strict_recist	melanoma_recist_supported_primary	GSE145996	stromal_exclusion	9	7	COL1A1,COL1A2,FN1,VIM,TGFBI,POSTN,LOXL2
strict_recist	melanoma_recist_supported_primary	GSE145996	trm_tls	9	9	ITGAE,CD69,CXCR6,CXCL13,ZNF683,MS4A1,CD79A,BANK1,LTB
strict_recist	melanoma_recist_supported_primary	GSE91061	ifn_t_cell_inflamed	11	11	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2
strict_recist	melanoma_recist_supported_primary	GSE91061	cytotoxic_cd8	8	8	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY
strict_recist	melanoma_recist_supported_primary	GSE91061	exhaustion_checkpoint	7	7	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13
strict_recist	melanoma_recist_supported_primary	GSE91061	antigen_presentation	10	10	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP1,TAP2,PSMB8,PSMB9
strict_recist	melanoma_recist_supported_primary	GSE91061	myeloid_suppression	9	9	CD68,CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1
strict_recist	melanoma_recist_supported_primary	GSE91061	stromal_exclusion	9	9	COL1A1,COL1A2,COL3A1,FN1,ACTA2,VIM,TGFBI,POSTN,LOXL2
strict_recist	melanoma_recist_supported_primary	GSE91061	trm_tls	9	9	ITGAE,CD69,CXCR6,CXCL13,ZNF683,MS4A1,CD79A,BANK1,LTB
strict_recist	melanoma_recist_supported_primary	GSE78220	ifn_t_cell_inflamed	11	11	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2
strict_recist	melanoma_recist_supported_primary	GSE78220	cytotoxic_cd8	8	8	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY
strict_recist	melanoma_recist_supported_primary	GSE78220	exhaustion_checkpoint	7	7	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13
strict_recist	melanoma_recist_supported_primary	GSE78220	antigen_presentation	10	10	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP1,TAP2,PSMB8,PSMB9
strict_recist	melanoma_recist_supported_primary	GSE78220	myeloid_suppression	9	9	CD68,CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1
strict_recist	melanoma_recist_supported_primary	GSE78220	stromal_exclusion	9	9	COL1A1,COL1A2,COL3A1,FN1,ACTA2,VIM,TGFBI,POSTN,LOXL2
strict_recist	melanoma_recist_supported_primary	GSE78220	trm_tls	9	9	ITGAE,CD69,CXCR6,CXCL13,ZNF683,MS4A1,CD79A,BANK1,LTB
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	ifn_t_cell_inflamed	11	11	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	cytotoxic_cd8	8	8	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	exhaustion_checkpoint	7	7	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	antigen_presentation	10	10	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP1,TAP2,PSMB8,PSMB9
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	myeloid_suppression	9	9	CD68,CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	stromal_exclusion	9	9	COL1A1,COL1A2,COL3A1,FN1,ACTA2,VIM,TGFBI,POSTN,LOXL2
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	trm_tls	9	9	ITGAE,CD69,CXCR6,CXCL13,ZNF683,MS4A1,CD79A,BANK1,LTB
strict_recist	melanoma_core_high_evidence	GSE91061	ifn_t_cell_inflamed	11	11	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2
strict_recist	melanoma_core_high_evidence	GSE91061	cytotoxic_cd8	8	8	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY
strict_recist	melanoma_core_high_evidence	GSE91061	exhaustion_checkpoint	7	7	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13
strict_recist	melanoma_core_high_evidence	GSE91061	antigen_presentation	10	10	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP1,TAP2,PSMB8,PSMB9
strict_recist	melanoma_core_high_evidence	GSE91061	myeloid_suppression	9	9	CD68,CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1
strict_recist	melanoma_core_high_evidence	GSE91061	stromal_exclusion	9	9	COL1A1,COL1A2,COL3A1,FN1,ACTA2,VIM,TGFBI,POSTN,LOXL2
strict_recist	melanoma_core_high_evidence	GSE91061	trm_tls	9	9	ITGAE,CD69,CXCR6,CXCL13,ZNF683,MS4A1,CD79A,BANK1,LTB
strict_recist	melanoma_core_high_evidence	GSE78220	ifn_t_cell_inflamed	11	11	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IDO1,GBP1,CXCR3,CCL5,CD274,PDCD1LG2
strict_recist	melanoma_core_high_evidence	GSE78220	cytotoxic_cd8	8	8	CD8A,CD8B,GZMA,GZMB,GZMH,PRF1,NKG7,GNLY
strict_recist	melanoma_core_high_evidence	GSE78220	exhaustion_checkpoint	7	7	PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,CXCL13
strict_recist	melanoma_core_high_evidence	GSE78220	antigen_presentation	10	10	HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,B2M,TAP1,TAP2,PSMB8,PSMB9
strict_recist	melanoma_core_high_evidence	GSE78220	myeloid_suppression	9	9	CD68,CD163,MRC1,CSF1R,ITGAM,S100A8,S100A9,IL10,TGFB1
strict_recist	melanoma_core_high_evidence	GSE78220	stromal_exclusion	9	9	COL1A1,COL1A2,COL3A1,FN1,ACTA2,VIM,TGFBI,POSTN,LOXL2
