endpoint	stratum	model_name	n_samples	n_cohorts	pooled_AUROC	pooled_AUPRC	pooled_balanced_accuracy	pooled_Brier	pooled_ECE	mean_fold_AUROC	mean_fold_AUPRC	mean_fold_balanced_accuracy	mean_fold_ECE	min_fold_AUROC	max_fold_AUROC	evaluation_modes
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-ModulePriorFixed	117	3	0.7049025769956003	0.5584727461504684	0.6315210559396606	0.250038321836014	0.2348619118541941	0.7122567490988544	0.6357707545878359	0.618025249604197	0.29592142820492645	0.6128205128205129	0.8755980861244019	LODO
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-WordNoInteraction	117	3	0.7011313639220617	0.5929303984825222	0.5985229415461973	0.30302154592842384	0.2663404477983682	0.6842888106046	0.5760649673451231	0.49010989010989015	0.27616033369539245	0.6102564102564103	0.7942583732057417	LODO
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-HeuristicEcology	117	3	0.6866750471401635	0.5658630078393804	0.575267127592709	0.3152752642263488	0.28461297679096553	0.6421642684800579	0.5594814100081077	0.5029304029304029	0.31253917268336157	0.5219780219780219	0.7942583732057417	LODO
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-ModuleIFNConsensus	117	3	0.6778755499685732	0.5245434755898563	0.6363922061596481	0.23694073620276537	0.1514650082968751	0.6720554299501668	0.5782013374198035	0.5818024081181976	0.25476768021917473	0.5494505494505495	0.8564593301435406	LODO
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-AdaptiveConsensus	117	3	0.6731615336266499	0.5196335270591229	0.6363922061596481	0.23586473738326025	0.1368921744590639	0.6666678350888877	0.5822261126363547	0.6361413440360809	0.25353205028114967	0.5274725274725276	0.84688995215311	LODO
primary_recist	melanoma_core_high_evidence	CXCL9	117	3	0.6656191074795725	0.5169521608871197	0.6528912633563797	0.23801152234931466	0.13808986252382452	0.655404244877929	0.5681166544859496	0.6399319978267347	0.23446733021447463	0.49999999999999994	0.8277511961722488	LODO
primary_recist	melanoma_core_high_evidence	TIG	117	3	0.6656191074795725	0.5168752653089108	0.6228786926461345	0.2390586042378697	0.13663482754097397	0.6549730970783602	0.5826841639541903	0.5404104667262563	0.2183739798787705	0.5164835164835164	0.8253588516746412	LODO
primary_recist	melanoma_core_high_evidence	IFNG	117	3	0.6643620364550596	0.5120861576692182	0.6345065996228787	0.23877482236375455	0.13531512901356266	0.6568425726320463	0.5689353224494074	0.5624302597986808	0.2224581534423448	0.510989010989011	0.8492822966507176	LODO
primary_recist	melanoma_core_high_evidence	APM	117	3	0.6637335009428034	0.48783872828045893	0.6258642363293526	0.2405737891862596	0.13641855938444358	0.6870702397018187	0.568588568801435	0.6279153594943069	0.2335062686851002	0.5256410256410255	0.8157894736842105	LODO
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-ModulePriorFixed-Platt	117	3	0.6552482715273412	0.4877455053893849	0.6382778126964174	0.23934611047808996	0.14865713902293257	0.7122567490988544	0.6357707545878359	0.618025249604197	0.25178482833564675	0.6128205128205129	0.8755980861244019	LODO
